ficto:NarrativeSegment,ficto:involves,ficto:hasNarrativeInstance,ficto:hasFormOfSpeech,cito:cites,prov:value
narr_seg_expr_2.6,sherlock_doyle2,narrator_2.1,narrated-speech,kin_habit_5,"«Si appoggiò all’indietro, congiungendo i polpastrelli delle dita, e assunse la più distaccata e professionale delle sue espressioni»"
narr_seg_expr_2.6,,,,attitude_6,
narr_seg_expr_2.6,,,,attitude_7,
narr_seg_expr_2.7,sherlock_doyle2,narrator_2.1,narrated-speech,need_1,"«Sapevo che il mio amico aveva bisogno di rimanere solo in quelle ore di intensa concentrazione in cui avrebbe soppesato ogni frammento di prova, costruito teorie alternative, confrontandole fra loro, e deciso quali punti fossero da considerare essenziali e quali trascurabili»"
narr_seg_expr_2.8,sherlock_doyle2,narrator_2.1,narrated-speech,habit_6,"«Attraverso quella fitta cortina di fumo riuscivo a malapena a intravedere Holmes, raggomitolato su una poltrona con la veste da camera e con la sua pipa di terracotta nera tra le labbra»"
narr_seg_expr_2.8,,,,pers_style_4,
narr_seg_expr_2.8,,,,recur_p_obj_3,
narr_seg_expr_2.9,sherlock_doyle2,narrator_2.1,direct-speech,exist_outlook_1,«Il mondo è pieno di cose ovvie che nessuno mai osserva»
narr_seg_expr_2.10,sherlock_doyle2,narrator_2.1,direct-speech,habit_5,«[…] Posso chiederle di passarmi il violino e rimandare ogni ulteriore considerazione sull’argomento a domattina[…]?»
narr_seg_expr_2.11,sherlock_doyle2,narrator_2.1,narrated-speech,pers_style_4,"«Il nostro tavolo della prima colazione era già stato sparecchiato da tempo, e Holmes aspettava in veste da camera il colloquio che ci era stato promesso»"
narr_seg_expr_2.12,sherlock_doyle2,narrator_2.1,narrated-speech,psych_prof_6,«Holmes si trasformò istantaneamente da languido sognatore in energico uomo d’azione»
narr_seg_expr_2.12,,,,psych_prof_7,
narr_seg_expr_2.13,sherlock_doyle2,narrator_2.1,narrated-speech,attitude_8,"«Sherlock Holmes possedeva in sommo grado la capacità di estraniarsi mentalmente, a suo piacere, dai problemi che lo affliggevano»"
narr_seg_expr_2.14,sherlock_doyle2,narrator_2.1,narrated-speech,knowledge_14,"«Non fece altro che parlare d’arte, argomento circa il quale aveva peraltro idee piuttosto audaci, dal momento in cui lasciammo la galleria fino a quando ci ritrovammo davanti al Northumberland Hotel»"
narr_seg_expr_2.15,sherlock_doyle2,narrator_2.1,direct-speech,self_perception,"«La fama del suo amico detective è giunta fino a noi, e lei non poteva scriverne senza acquistare a sua volta notorietà»"
narr_seg_expr_2.16,sherlock_doyle2,narrator_2.1,indirect-style,expertise_4,"«Tutto ciò, comunque, esula dalla missione di cui lei mi ha incaricato, e molto probabilmente risulterà del tutto privo di interesse per una mente rigorosamente pratica come la sua»"
narr_seg_expr_2.17,sherlock_doyle2,narrator_2.1,indirect-style,knowledge_8,«Ricordo ancora la sua totale indifferenza alla questione se fosse il sole a girare intorno alla terra o la terra intorno al sole»
narr_seg_expr_2.18,sherlock_doyle2,narrator_2.1,reported-speech,belief_1,"«Holmes non darebbe certamente retta a simili fandonie, e io sono qui per suo incarico»"
narr_seg_expr_2.19,sherlock_doyle2,narrator_2.1,narrated-speech,exp_habit_10,"«Quella voce fredda, incisiva, ironica, poteva appartenere a un solo uomo sulla faccia della terra»"
narr_seg_expr_2.19,,,,exp_habit_11,
narr_seg_expr_2.19,,,,exp_habit_12,
narr_seg_expr_2.20,sherlock_doyle2,narrator_2.1,narrated-speech,feature_3,«[…] i suoi occhi grigi luccicarono divertiti su appena si posarono sulla mia faccia allibita»
narr_seg_expr_2.21,sherlock_doyle2,narrator_2.1,narrated-speech,pers_style_5,«Con il suo completo di tweed e il suo berretto di panno sembrava proprio uno dei tanti turisti che venivano in gita sulla brughiera»
narr_seg_expr_2.21,,,,pers_style_6,
narr_seg_expr_2.22,sherlock_doyle2,narrator_2.1,narrated-speech,attitude_9,"«Inoltre, con quella pignola cura da gatto per la propria persona che era una delle sue caratteristiche, era riuscito a escogitare un sistema perché il suo mento fosse perfettamente rasato e la sua biancheria immacolata proprio come in Baker Street»"
narr_seg_expr_2.23,sherlock_doyle2,narrator_2.1,narrated-speech,feature_3,"«Holmes scattò in piedi e in un attimo vidi la sua sagoma scura, atletica, profilarsi sulla soglia […]»"
narr_seg_expr_2.24,sherlock_doyle2,narrator_2.1,narrated-speech,psych_prof_8,"«Dov’è?» sussurrò Holmes; capii, dal tremito della sua voce, che persino lui, l’uomo dai nervi d’acciaio, era profondamente turbato»"
narr_seg_expr_2.25,sherlock_doyle2,narrator_2.1,narrated-speech,psych_prof_8,"«Era mai possibile che quello fosse il mio severo amico, sempre così controllato e padrone di sé? C’era davvero un fuoco nascosto in lui!»"
narr_seg_expr_2.26,sherlock_doyle2,narrator_2.1,direct-speech,self_perception,«Il mio dovere di investigatore coscienzioso sarebbe quello di arrestare tutti gli abitanti della casa per favoreggiamento […]»
narr_seg_expr_2.27,sherlock_doyle2,narrator_2.1,direct-speech,knowledge_14,"«Watson non ammetterà mai che io capisca qualcosa in fatto di arte, ma la sua è pura gelosia, dal momento che abbiamo punti di vista molto diversi in materia […]»"
narr_seg_expr_2.28,sherlock_doyle2,narrator_2.1,direct-speech,methodology,«La prima qualità di un bravo criminologo è proprio quella di riconoscere un travestimento»
narr_seg_expr_2.29,sherlock_doyle2,narrator_2.1,narrated-speech,exp_habit_8,"«Mentre si allontanava dal quadro, scoppiò in una delle sue rare risate. Lo avevo inteso ridere raramente, e il suo riso aveva ogni volta presagio di sciagura a qualcuno»"
narr_seg_expr_2.30,sherlock_doyle2,narrator_2.1,narrated-speech,symb_imag_4,«Mi sembra un generale che stia concertando un piano di battaglia insieme al proprio capo di stato maggiore»
narr_seg_expr_2.31,sherlock_doyle2,narrator_2.1,direct-speech,knowledge_2,"«Gli studiosi di criminologia rammenteranno senz’altro gli episodi analoghi avvenuti nel 1866 a Grodno, nella Piccola Russia, e naturalmente i delitti Anderson nella Carolina del Nord; ma questo caso presenta caratteristiche assolutamente uniche»"
narr_seg_expr_2.32,sherlock_doyle2,narrator_2.1,narrated-speech,psych_prof_2,"«Uno dei difetti di Sherlock Holmes, dato e non concesso che si trattasse di un difetto, era quello di essere estremamente restio a comunicare a chiunque altro i suoi piani fino al momento stesso della loro attuazione»"
narr_seg_expr_2.33,sherlock_doyle2,narrator_2.1,narrated-speech,attitude_10,"«Questo era dovuto in parte, senza dubbio, alla sua natura autoritaria, che si compiaceva nel dominare e sorprendere coloro che gli stavano interno; in parte alla sua prudenza professionale, che gli imponeva di non correre mai rischi inutili»"
narr_seg_expr_2.33,,,,expertise_6,
narr_seg_expr_2.34,sherlock_doyle2,narrator_2.1,narrated-speech,mannerism_1,"«Ma all’improvviso li vidi irrigidirsi in uno sguardo fisso, come impietrito, mentre le labbra si spalancarono per lo stupore»"
narr_seg_expr_2.34,,,,mannerism_5,
narr_seg_expr_2.35,sherlock_doyle2,narrator_2.1,narrated-speech,psych_prof_9,"«Avevo atteso pazientemente l’occasione propizia, sapendo che non ammetteva mai che un suo caso si sovrapponesse a un altro, e che la sua mente logica e razionale non si lasciava distogliere dall’indagine in corso per riandare ai ricordi del passato»"
narr_seg_expr_2.36,sherlock_doyle2,narrator_2.1,direct-speech,methodology,"«Più un particolare sembra grottesco e stravagante, più vale la pena di esaminarlo attentamente, e proprio ciò che apparentemente complica un caso, se analizzato a fondo e vagliato con metodo scientifico, diventa elemento che finisce per chiarirlo»"
narr_seg_expr_2.37,sherlock_doyle2,narrator_2.1,direct-speech,inter_2,"«Una domanda interessante, ma temo che pretenda troppo se si aspetta che sappia risponderle. Il passato e il presente rientrano nella mia sfera d’indagine, ma quello che una persona farà in futuro è davvero difficile saperlo»"
narr_seg_expr_3.1,sherlock_doyle3,narrator_3.1,narrated-speech,skill_2,«È col cuore gonfio che prendo in mano la penna per tracciare queste che saranno le ultime parole che scriverò per narrare le doti singolari che sempre distinsero il mio amico Sherlock Holmes»
narr_seg_expr_3.1,,,,name,
narr_seg_expr_3.2,sherlock_doyle3,narrator_3.2,direct-speech,psych_prof_8,"«Credo che mi conosca abbastanza bene, Watson, per comprendere che non sono affatto un individuo nervoso»"
narr_seg_expr_3.3,sherlock_doyle3,narrator_3.2,narrated-speech,attitude_11,"«Non era nel suo carattere prendersi una vacanza inutile, e qualcosa nel viso pallido e sciupato mi diceva che i suoi nervi erano al massimo della tensione»"
narr_seg_expr_3.3,,,,feature_3,
narr_seg_expr_3.3,,,,emo_state_2,
narr_seg_expr_3.4,sherlock_doyle3,narrator_3.2,direct-speech,need_2,"«Potrei vivere il resto dei miei giorni nella pace nella tranquillità che mi sono così care, concentrando tutta la mia attenzione sui miei esperimenti chimici»"
narr_seg_expr_3.4,,,,need_3,
narr_seg_expr_3.4,,,,habit_2,
narr_seg_expr_3.5,sherlock_doyle3,narrator_3.2,direct-speech,occupation_2,"«La sua è stata una carriera particolarmente straordinaria. È di buona nascita e di educazione eccellente, ed è stato dotato dalla natura di una mente matematica fenomenale»"
narr_seg_expr_3.5,,,,socioec_status,
narr_seg_expr_3.5,,,,knowledge_14,
narr_seg_expr_3.5,,,,psych_prof_9,
narr_seg_expr_3.6,sherlock_doyle3,narrator_3.2,direct-speech,knowledge_15,"«Come lei sa, Watson, nessuno meglio di me conosce l’ambiente criminoso dei quartieri alti di Londra»"
narr_seg_expr_3.7,sherlock_doyle3,narrator_3.2,direct-speech,methodology,"«Quell’uomo è un Napoleone del crimine, Watson, è l’organizzatore di metà delle malvagità e di quasi tutto ciò che rimane impunito in questa grande città»"
